<to> = 20       huffman_code = 00001101
<ra> = 20       huffman_code = 00001100
< r> = 21       huffman_code = 1111110
<es> = 21       huffman_code = 1111101
<de> = 21       huffman_code = 1111100
<ta> = 21       huffman_code = 1111011
<le> = 21       huffman_code = 1111010
<ma> = 22       huffman_code = 1110111
<, > = 22       huffman_code = 1110110
< c> = 22       huffman_code = 1110101
<co> = 22       huffman_code = 1110100
<al> = 23       huffman_code = 1101110
<ce> = 23       huffman_code = 1101001
<it> = 24       huffman_code = 1100101
<ur> = 25       huffman_code = 1011001
<su> = 25       huffman_code = 1011000
< p> = 25       huffman_code = 1010111
<ro> = 25       huffman_code = 1010110
<ea> = 26       huffman_code = 1010011
<as> = 27       huffman_code = 1010000
<ed> = 27       huffman_code = 1001111
< w> = 27       huffman_code = 1001110
<y > = 28       huffman_code = 1001100
< s> = 28       huffman_code = 1001011
< b> = 28       huffman_code = 1001010
<te> = 29       huffman_code = 0111110
<nd> = 30       huffman_code = 0111101
< m> = 31       huffman_code = 0110101
<f > = 31       huffman_code = 0110100
<ar> = 31       huffman_code = 0110011
<ng> = 32       huffman_code = 0110001
<or> = 33       huffman_code = 0100010
<ve> = 34       huffman_code = 0100001
<g > = 35       huffman_code = 0011101
<at> = 35       huffman_code = 0011100
<r > = 35       huffman_code = 0011011
<er> = 37       huffman_code = 0010011
<on> = 37       huffman_code = 0010010
<of> = 37       huffman_code = 0001111
<ti> = 38       huffman_code = 0001110
<re> = 38       huffman_code = 0001101
<st> = 38       huffman_code = 0001100
<me> = 39       huffman_code = 0001010
< i> = 40       huffman_code = 0000111
<t > = 44       huffman_code = 111100
< o> = 46       huffman_code = 110110
<nt> = 46       huffman_code = 110101
<en> = 48       huffman_code = 110011
<n > = 49       huffman_code = 101101
<s > = 52       huffman_code = 101010
<an> = 57       huffman_code = 100010
<he> = 61       huffman_code = 011100
<d > = 62       huffman_code = 011011
<in> = 74       huffman_code = 001010
< t> = 75       huffman_code = 001000
< a> = 80       huffman_code = 000100
<th> = 81       huffman_code = 000000
<e > = 116      huffman_code = 10000
